,hospital_admissions,SO2_level,log_hosp,date
365,231,20.04,5.442417711,12/31/1994
366,207,10.22,5.332718793,1/1/1995
367,235,14.22,5.459585514,1/2/1995
368,299,19.7,5.700443573,1/3/1995
369,284,16.09,5.648974238,1/4/1995
370,238,18.37,5.472270674,1/5/1995
371,249,22.74,5.517452896,1/6/1995
372,266,31.11,5.583496309,1/7/1995
373,287,32.04,5.659482216,1/8/1995
374,351,64.14,5.860786223,1/9/1995
375,317,15.42,5.758901774,1/10/1995
376,328,21.87,5.793013608,1/11/1995
377,275,22.93,5.616771098,1/12/1995
378,259,27.1,5.556828062,1/13/1995
379,261,17.98,5.564520407,1/14/1995
380,255,17.66,5.541263545,1/15/1995
381,308,30.19,5.730099783,1/16/1995
382,291,17.51,5.673323267,1/17/1995
383,274,18.13,5.613128106,1/18/1995
384,321,22.07,5.771441123,1/19/1995
385,294,15.16,5.683579767,1/20/1995
386,269,12.29,5.59471138,1/21/1995
387,268,27.54,5.590986981,1/22/1995
388,335,27.91,5.814130532,1/23/1995
389,281,14.85,5.638354669,1/24/1995
390,321,16.74,5.771441123,1/25/1995
391,256,19.8,5.545177444,1/26/1995
392,216,11.44,5.375278408,1/27/1995
393,263,11.83,5.572154032,1/28/1995
394,213,11.34,5.361292166,1/29/1995
395,238,10.76,5.472270674,1/30/1995
396,189,12.7,5.241747015,1/31/1995
397,289,18.14,5.666426688,2/1/1995
398,289,19.01,5.666426688,2/2/1995
399,349,18.23,5.855071922,2/3/1995
400,315,14.33,5.752572639,2/4/1995
401,273,16.51,5.609471795,2/5/1995
402,335,21.01,5.814130532,2/6/1995
403,320,18.15,5.768320996,2/7/1995
404,350,30.39,5.857933154,2/8/1995
405,357,43.76,5.877735782,2/9/1995
406,302,16.2,5.710427017,2/10/1995
407,262,19.52,5.568344504,2/11/1995
408,328,46.52,5.793013608,2/12/1995
409,387,47.61,5.958424693,2/13/1995
410,286,12.22,5.655991811,2/14/1995
411,311,13.4,5.739792912,2/15/1995
412,277,14.84,5.624017506,2/16/1995
413,269,12.95,5.59471138,2/17/1995
414,306,32.69,5.723585102,2/18/1995
415,247,10.13,5.509388337,2/19/1995
416,319,10.78,5.765191103,2/20/1995
417,273,10.75,5.609471795,2/21/1995
418,322,12.48,5.774551546,2/22/1995
419,318,14.86,5.762051383,2/23/1995
420,297,16.92,5.693732139,2/24/1995
421,306,16.56,5.723585102,2/25/1995
422,309,12.04,5.733341277,2/26/1995
423,379,27.25,5.937536205,2/27/1995
424,335,24.97,5.814130532,2/28/1995
425,333,12.22,5.80814249,3/1/1995
426,366,13.93,5.902633333,3/2/1995
427,350,16.68,5.857933154,3/3/1995
428,290,21.14,5.669880923,3/4/1995
429,356,14.09,5.874930731,3/5/1995
430,450,19.66,6.109247583,3/6/1995
431,415,19.32,6.02827852,3/7/1995
432,437,14.4,6.079933195,3/8/1995
433,376,31.43,5.929589143,3/9/1995
434,380,23.64,5.940171253,3/10/1995
435,327,18.09,5.789960171,3/11/1995
436,314,8.57,5.749392986,3/12/1995
437,381,9.05,5.942799375,3/13/1995
438,363,9.57,5.894402834,3/14/1995
439,404,15.05,6.001414878,3/15/1995
440,362,17.57,5.891644212,3/16/1995
441,335,20.91,5.814130532,3/17/1995
442,344,10.96,5.840641657,3/18/1995
443,279,10,5.631211782,3/19/1995
444,351,13.14,5.860786223,3/20/1995
445,316,43.7,5.755742214,3/21/1995
446,332,60.82,5.805134969,3/22/1995
447,338,46.76,5.823045895,3/23/1995
448,321,46.34,5.771441123,3/24/1995
449,251,26.57,5.525452939,3/25/1995
450,262,8.65,5.568344504,3/26/1995
451,345,12.57,5.843544417,3/27/1995
452,315,12.77,5.752572639,3/28/1995
453,358,48.33,5.880532986,3/29/1995
454,340,32.91,5.828945618,3/30/1995
455,287,11.65,5.659482216,3/31/1995
456,291,6.83,5.673323267,4/1/1995
457,295,6.53,5.686975356,4/2/1995
458,360,6.96,5.886104031,4/3/1995
459,293,9.14,5.680172609,4/4/1995
460,277,8.91,5.624017506,4/5/1995
461,359,46.47,5.883322388,4/6/1995
462,299,18.12,5.700443573,4/7/1995
463,301,12.45,5.707110265,4/8/1995
464,345,27.09,5.843544417,4/9/1995
465,391,33.18,5.96870756,4/10/1995
466,367,41.46,5.905361848,4/11/1995
467,377,22.02,5.932245187,4/12/1995
468,343,12.43,5.837730447,4/13/1995
469,273,45.62,5.609471795,4/14/1995
470,360,50.31,5.886104031,4/15/1995
471,295,37.29,5.686975356,4/16/1995
472,311,15.48,5.739792912,4/17/1995
473,373,29.42,5.92157842,4/18/1995
474,348,29.37,5.85220248,4/19/1995
475,281,7.53,5.638354669,4/20/1995
476,344,9.51,5.840641657,4/21/1995
477,289,33.45,5.666426688,4/22/1995
478,313,30.68,5.746203191,4/23/1995
479,318,7.25,5.762051383,4/24/1995
480,296,32.16,5.690359454,4/25/1995
481,325,10.8,5.783825182,4/26/1995
482,286,7.47,5.655991811,4/27/1995
483,316,8.51,5.755742214,4/28/1995
484,236,24.33,5.463831805,4/29/1995
485,264,25.95,5.575949103,4/30/1995
486,314,33.12,5.749392986,5/1/1995
487,297,39.81,5.693732139,5/2/1995
488,326,10.23,5.786897381,5/3/1995
489,273,6.31,5.609471795,5/4/1995
490,291,8.59,5.673323267,5/5/1995
491,248,16.72,5.513428746,5/6/1995
492,281,36,5.638354669,5/7/1995
493,304,9.56,5.717027701,5/8/1995
494,308,9.03,5.730099783,5/9/1995
495,352,16.73,5.863631176,5/10/1995
496,320,6.64,5.768320996,5/11/1995
497,285,6.64,5.65248918,5/12/1995
498,293,7.73,5.680172609,5/13/1995
499,277,39.49,5.624017506,5/14/1995
500,362,12.59,5.891644212,5/15/1995
501,322,7.37,5.774551546,5/16/1995
502,3,15.6,1.098612289,5/17/1995
503,285,16.86,5.65248918,5/18/1995
504,294,27.68,5.683579767,5/19/1995
505,282,23.96,5.641907071,5/20/1995
506,278,17.27,5.627621114,5/21/1995
507,360,7.97,5.886104031,5/22/1995
508,297,4.96,5.693732139,5/23/1995
509,340,7.27,5.828945618,5/24/1995
510,350,26.72,5.857933154,5/25/1995
511,326,53.13,5.786897381,5/26/1995
512,245,42.34,5.501258211,5/27/1995
513,260,9.22,5.560681631,5/28/1995
514,366,42.05,5.902633333,5/29/1995
515,313,10.2,5.746203191,5/30/1995
516,327,5.18,5.789960171,5/31/1995
517,285,6.14,5.65248918,6/1/1995
518,231,4.8,5.442417711,6/2/1995
519,223,17.73,5.407171771,6/3/1995
520,256,33.46,5.545177444,6/4/1995
521,329,12.96,5.796057751,6/5/1995
522,284,5.77,5.648974238,6/6/1995
523,281,6.26,5.638354669,6/7/1995
524,293,18.46,5.680172609,6/8/1995
525,246,17.92,5.505331536,6/9/1995
526,227,16.14,5.424950017,6/10/1995
527,212,5.49,5.356586275,6/11/1995
528,325,14.41,5.783825182,6/12/1995
529,326,9.86,5.786897381,6/13/1995
530,288,28.48,5.66296048,6/14/1995
531,280,19.48,5.634789603,6/15/1995
532,279,24.71,5.631211782,6/16/1995
533,218,17.75,5.384495063,6/17/1995
534,222,15.55,5.402677382,6/18/1995
535,257,26.64,5.549076085,6/19/1995
536,304,14.31,5.717027701,6/20/1995
537,291,14.58,5.673323267,6/21/1995
538,253,11.89,5.533389489,6/22/1995
539,246,15.39,5.505331536,6/23/1995
540,210,13.1,5.347107531,6/24/1995
541,235,11.76,5.459585514,6/25/1995
542,308,16.92,5.730099783,6/26/1995
543,277,15.64,5.624017506,6/27/1995
544,272,20.83,5.605802066,6/28/1995
545,277,10.23,5.624017506,6/29/1995
546,288,20.06,5.66296048,6/30/1995
547,259,7.53,5.556828062,7/1/1995
548,219,21.14,5.38907173,7/2/1995
549,307,28.33,5.726847748,7/3/1995
550,269,27.8,5.59471138,7/4/1995
551,302,29.04,5.710427017,7/5/1995
552,307,29.1,5.726847748,7/6/1995
553,271,6.11,5.602118821,7/7/1995
554,288,6.88,5.66296048,7/8/1995
555,252,25.14,5.529429088,7/9/1995
556,353,24.55,5.866468057,7/10/1995
557,269,24.41,5.59471138,7/11/1995
558,333,29.95,5.80814249,7/12/1995
559,311,13.97,5.739792912,7/13/1995
560,283,25.34,5.645446898,7/14/1995
561,258,19.19,5.552959585,7/15/1995
562,252,14.83,5.529429088,7/16/1995
563,303,16.46,5.713732806,7/17/1995
564,265,32.12,5.579729826,7/18/1995
565,297,24.23,5.693732139,7/19/1995
566,327,17.03,5.789960171,7/20/1995
567,262,13.27,5.568344504,7/21/1995
568,246,28.21,5.505331536,7/22/1995
569,219,15.54,5.38907173,7/23/1995
570,314,16.55,5.749392986,7/24/1995
571,287,21.74,5.659482216,7/25/1995
572,315,27.95,5.752572639,7/26/1995
573,304,18.38,5.717027701,7/27/1995
574,262,10.54,5.568344504,7/28/1995
575,248,28.74,5.513428746,7/29/1995
576,240,16.39,5.480638923,7/30/1995
577,305,37.62,5.720311777,7/31/1995
578,274,19.73,5.613128106,8/1/1995
579,327,14.85,5.789960171,8/2/1995
580,235,16.11,5.459585514,8/3/1995
581,270,10.59,5.598421959,8/4/1995
582,223,7.48,5.407171771,8/5/1995
583,226,7.43,5.420534999,8/6/1995
584,303,11.93,5.713732806,8/7/1995
585,297,18.35,5.693732139,8/8/1995
586,273,25.89,5.609471795,8/9/1995
587,290,26.23,5.669880923,8/10/1995
588,284,7.28,5.648974238,8/11/1995
589,222,4.67,5.402677382,8/12/1995
590,251,19.99,5.525452939,8/13/1995
591,283,21.38,5.645446898,8/14/1995
592,285,14.58,5.65248918,8/15/1995
593,319,10.94,5.765191103,8/16/1995
594,293,10.31,5.680172609,8/17/1995
595,278,14.06,5.627621114,8/18/1995
596,238,9.48,5.472270674,8/19/1995
597,250,6.95,5.521460918,8/20/1995
598,298,8.32,5.697093487,8/21/1995
599,3,12.6,1.098612289,8/22/1995
600,346,46.2,5.846438775,8/23/1995
601,283,51.98,5.645446898,8/24/1995
602,3,32.28,1.098612289,8/25/1995
603,222,7.93,5.402677382,8/26/1995
604,202,4.73,5.308267697,8/27/1995
605,219,5.51,5.38907173,8/28/1995
606,317,8.48,5.758901774,8/29/1995
607,311,36.78,5.739792912,8/30/1995
608,248,99,5.513428746,8/31/1995
609,275,99,5.616771098,9/1/1995
610,240,7.4,5.480638923,9/2/1995
611,220,23.36,5.393627546,9/3/1995
612,337,45.29,5.82008293,9/4/1995
613,278,35.11,5.627621114,9/5/1995
614,284,6.53,5.648974238,9/6/1995
615,249,7.07,5.517452896,9/7/1995
616,257,13.01,5.549076085,9/8/1995
617,201,38.82,5.303304908,9/9/1995
618,256,20.6,5.545177444,9/10/1995
619,285,9.69,5.65248918,9/11/1995
620,281,8.35,5.638354669,9/12/1995
621,327,11.52,5.789960171,9/13/1995
622,244,12.5,5.497168225,9/14/1995
623,238,17.48,5.472270674,9/15/1995
624,226,18.22,5.420534999,9/16/1995
625,225,8.91,5.416100402,9/17/1995
626,282,8.89,5.641907071,9/18/1995
627,288,8.77,5.66296048,9/19/1995
628,280,9.03,5.634789603,9/20/1995
629,259,9.8,5.556828062,9/21/1995
630,282,20.38,5.641907071,9/22/1995
631,255,27.63,5.541263545,9/23/1995
632,302,15.03,5.710427017,9/24/1995
633,343,8.91,5.837730447,9/25/1995
634,278,11.75,5.627621114,9/26/1995
635,312,8.14,5.743003188,9/27/1995
636,282,6.29,5.641907071,9/28/1995
637,280,7.29,5.634789603,9/29/1995
638,286,6.86,5.655991811,9/30/1995
639,258,6.8,5.552959585,10/1/1995
640,244,3.26,5.497168225,10/2/1995
641,216,2.74,5.375278408,10/3/1995
642,306,10.08,5.723585102,10/4/1995
643,257,10.48,5.549076085,10/5/1995
644,264,10.84,5.575949103,10/6/1995
645,239,8.65,5.476463552,10/7/1995
646,214,9.53,5.365976015,10/8/1995
647,265,11.64,5.579729826,10/9/1995
648,292,10.62,5.676753802,10/10/1995
649,252,7.38,5.529429088,10/11/1995
650,259,7.17,5.556828062,10/12/1995
651,270,6.81,5.598421959,10/13/1995
652,222,10.04,5.402677382,10/14/1995
653,252,8.21,5.529429088,10/15/1995
654,332,10.07,5.805134969,10/16/1995
655,239,10.07,5.476463552,10/17/1995
656,278,22.47,5.627621114,10/18/1995
657,256,18.24,5.545177444,10/19/1995
658,244,13.41,5.497168225,10/20/1995
659,236,11.36,5.463831805,10/21/1995
660,219,9.16,5.38907173,10/22/1995
661,320,13.33,5.768320996,10/23/1995
662,329,9.8,5.796057751,10/24/1995
663,281,8.92,5.638354669,10/25/1995
664,322,10.86,5.774551546,10/26/1995
665,274,12.1,5.613128106,10/27/1995
666,220,19.01,5.393627546,10/28/1995
667,251,14.78,5.525452939,10/29/1995
668,335,16.5,5.814130532,10/30/1995
669,270,18.88,5.598421959,10/31/1995
670,2,13.63,0.693147181,11/1/1995
671,295,17.99,5.686975356,11/2/1995
672,275,20.5,5.616771098,11/3/1995
673,267,19.09,5.587248658,11/4/1995
674,246,15.13,5.505331536,11/5/1995
675,320,17.55,5.768320996,11/6/1995
676,292,11.61,5.676753802,11/7/1995
677,326,18.36,5.786897381,11/8/1995
678,308,21.57,5.730099783,11/9/1995
679,289,27.76,5.666426688,11/10/1995
680,249,18.12,5.517452896,11/11/1995
681,249,13.27,5.517452896,11/12/1995
682,334,22.36,5.811140993,11/13/1995
683,292,14.64,5.676753802,11/14/1995
684,291,12.84,5.673323267,11/15/1995
685,330,15.31,5.799092654,11/16/1995
686,321,15.79,5.771441123,11/17/1995
687,273,12.59,5.609471795,11/18/1995
688,271,14.31,5.602118821,11/19/1995
689,341,21.89,5.831882477,11/20/1995
690,337,19.83,5.82008293,11/21/1995
691,274,33.04,5.613128106,11/22/1995
692,282,14.96,5.641907071,11/23/1995
693,272,15.1,5.605802066,11/24/1995
694,248,19.59,5.513428746,11/25/1995
695,275,17.14,5.616771098,11/26/1995
696,380,14.69,5.940171253,11/27/1995
697,348,15.1,5.85220248,11/28/1995
698,323,16.49,5.777652323,11/29/1995
699,327,13.71,5.789960171,11/30/1995
700,287,10.8,5.659482216,12/1/1995
701,245,14.75,5.501258211,12/2/1995
702,256,15.26,5.545177444,12/3/1995
703,327,20.06,5.789960171,12/4/1995
704,311,23.43,5.739792912,12/5/1995
705,312,20.86,5.743003188,12/6/1995
706,317,20.02,5.758901774,12/7/1995
707,273,23.92,5.609471795,12/8/1995
708,239,22.87,5.476463552,12/9/1995
709,277,9.82,5.624017506,12/10/1995
710,357,24.78,5.877735782,12/11/1995
711,366,27.72,5.902633333,12/12/1995
712,362,19.89,5.891644212,12/13/1995
713,326,21.82,5.786897381,12/14/1995
714,316,7.99,5.755742214,12/15/1995
715,238,9.13,5.472270674,12/16/1995
716,259,9.36,5.556828062,12/17/1995
717,313,11.16,5.746203191,12/18/1995
718,293,20.29,5.680172609,12/19/1995
719,305,15.27,5.720311777,12/20/1995
720,295,14.25,5.686975356,12/21/1995
721,271,25.56,5.602118821,12/22/1995
722,242,26.43,5.488937726,12/23/1995
723,213,17.6,5.361292166,12/24/1995
724,213,23.37,5.361292166,12/25/1995
725,238,20.51,5.472270674,12/26/1995
726,340,20.13,5.828945618,12/27/1995
727,294,18.78,5.683579767,12/28/1995
728,290,19.72,5.669880923,12/29/1995
729,253,27.07,5.533389489,12/30/1995
730,261,33.18,5.564520407,12/31/1995
